SALEPRICE,CONSTYR,LOTSQFT,CALC_ACRES,LANDVAL1,IMPVAL,ZIPCODE,SALEDATE,SALETYPE
500000,1987,1804,0,42700,48014,890110000,20260501,U
414000,2001,1585,0,33250,64387,891490000,20260501,U
360000,2000,1424,0,30100,57242,891434434,20260501,U
295000,2001,1478,0,33950,63281,890310000,20260501,R
365000,2000,1074,0,28700,47349,891310000,20260501,R
580000,2005,3109,0,42000,139421,891490000,20260501,U
360000,2007,2405,0,46550,101799,891290000,20260501,R
625000,2003,2491,0,64400,88843,891340000,20260501,R
450000,2004,1965,0,33600,85304,891431147,20260501,U
618489,2004,2166,0,35700,92265,852610000,20260501,M
411000,2003,1673,0,33250,69623,891313682,20260501,R
340000,1995,1320,0,10500,37965,891060000,20260501,R
298237,1995,1846,0,44100,60283,891450000,20260501,A
420000,2003,1473,0,36225,69183,891310000,20260501,R
415000,1994,1536,0,40600,51591,891280000,20260501,R
550200,1995,1838,0,51800,66623,891340000,20260501,U
595000,1996,2946,0,50750,87431,891170000,20260501,U
330000,1950,1101,0,25200,13116,891180000,20260501,U
436000,2001,1532,0,40250,65333,891310000,20260501,U
390000,1956,1817,0,28000,23598,891130000,20260501,U
350000,1964,1874,0,31150,24257,891080000,20260501,R
340000,1961,988,0,31850,13831,891080000,20260501,R
549000,2006,2972,0,43750,125764,891310000,20260501,R
480000,1986,1521,0,33250,39677,890320000,20260501,R
407000,1990,1853,0,35000,52408,891302086,20260501,U
310000,1997,1955,0,34300,61734,890310426,20260501,U
493000,2006,2051,0,40950,97176,890850000,20260501,R
355000,1963,1473,0,24500,19793,890300000,20260501,R
300000,1976,1562,0,40250,24095,891130000,20260501,R
419000,1964,1860,0,35000,21600,890520000,20260501,U
350000,1997,1187,0,46900,48688,891340000,20260501,R
530000,1996,2540,0,45150,76048,891470000,20260501,R
365000,1987,1520,0,28350,46662,891080000,20260501,R
393000,1964,1702,0,25550,21297,891210000,20260501,R
545000,1999,1661,0,58100,71459,902750000,20260501,R
210000,1961,875,0,24500,12826,890310000,20260501,U
385000,1997,1348,0,35700,50042,891290000,20260501,D
865000,2007,3126,0,87850,154463,891350000,20260501,R
578000,2003,2056,0,64400,79355,980080000,20260501,R
370000,1953,1521,0,28000,13813,891040000,20260501,R
459999,1988,1347,0,41300,44380,891170000,20260501,R
250000,1961,1400,0,34650,21216,891440000,20260501,R
350000,1993,2236,0,31500,65223,890770000,20260501,R
309000,1960,1432,0,36750,22098,891280000,20260501,U
194750,1962,1220,0,27650,16823,891230000,20260501,R
460000,1954,1876,0,28000,21655,891230000,20260501,U
390000,1978,1548,0,29750,25443,890300000,20260501,R
570000,1995,2305,0,59150,69659,891300000,20260501,U
485000,1996,1360,0,46900,55837,891340000,20260501,U
505000,1994,1931,0,38850,65633,891300000,20260501,R
510000,2001,2613,0,40250,94673,891310000,20260501,R
390000,1973,1410,0,32200,21076,891170000,20260501,R
390000,1954,1689,0,28000,21427,890520000,20260501,U
385000,1972,1272,0,26250,18250,891100000,20260501,R
420000,1991,1554,0,35000,50144,891300000,20260501,R
290000,1956,1563,0,26250,19517,114330000,20260501,R
575000,2001,3574,0,45500,116975,891310000,20260501,R
450000,1995,2525,0,35000,81063,891300000,20260501,R
265000,1955,1008,0,27300,13649,891060000,20260501,R
320000,1999,1637,0,35000,71448,442560000,20260501,U
185000,1957,1324,0,26250,18157,891200000,20260501,R
550000,1993,2269,0,47250,63339,891340000,20260501,R
131043,1961,1596,0,25550,20315,890440000,20260501,R
525000,1999,2345,0,40250,85926,891310000,20260501,R
570000,1996,1533,0,50750,59661,891340000,20260501,D
380000,1957,1402,0,28000,18085,891340000,20260501,U
345000,1972,1824,0,26600,33207,891100000,20260501,R
375000,1980,1728,0,28000,28573,891100000,20260501,R
300000,1993,1666,0,37800,58649,891300000,20260501,R
580000,2001,2892,0,51450,102823,891290000,20260501,U
578888,2002,1905,0,64400,79019,890050000,20260501,U
360000,1974,1058,0,27300,15619,891040000,20260501,R
375000,1978,1180,0,32200,19597,891450000,20260501,R
380000,1991,1510,0,34300,49353,891300000,20260501,R
615000,2012,3226,0,49000,130712,890840000,20260501,R
300000,1980,1895,0,38500,30297,891130000,20260501,R
658700,1998,2336,0,60900,90606,891175997,20260501,U
520000,2002,2022,0,43050,84496,891310000,20260501,R
408000,1964,1180,0,31850,18799,891070000,20260501,R
360000,1954,1335,0,28000,18361,891170000,20260501,R
370000,1963,1470,0,29750,20301,891170000,20260501,U
247000,1962,1849,0,38500,22913,891080000,20260501,R
412500,1963,1242,0,39550,33997,946190000,20260501,R
400000,1989,1553,0,27650,42443,890300000,20260501,R
360000,1971,2320,0,29750,34215,334600000,20260501,R
295000,1945,1014,0,24500,12522,891060000,20260501,U
700000,1997,2926,0,49350,88240,913640000,20260501,U
360000,1942,1012,0,33250,13551,891130000,20260501,U
280000,1947,1263,0,28000,19556,843350000,20260501,U
415000,1992,1653,0,46200,57774,891348965,20260501,U
350000,1963,1351,0,30450,20277,891190000,20260501,U
510000,1994,1533,0,55825,57266,891470000,20260501,R
418000,1993,1718,0,32200,55777,891082488,20260501,U
1235000,2004,2232,0,96250,109920,891380000,20260501,R
885000,1998,1842,0,85750,72743,891280000,20260501,U
412000,1963,1496,0,25550,19451,891210000,20260501,R
625000,2006,2823,0,45850,123414,891311745,20260501,R
400000,1957,1418,0,28000,19125,891080000,20260501,R
415000,1990,1613,0,42350,52021,891340000,20260501,R
1295000,1999,2917,0,108500,137193,980040000,20260501,R
470000,1990,1653,0,38115,56792,944030000,20260501,R
308000,1963,2222,0,31150,30039,890140000,20260501,R
420000,1996,1360,0,50750,56733,891340000,20260501,R
420000,1998,1520,0,46900,63879,891340000,20260501,R
375000,1972,1208,0,26600,17215,891210000,20260501,R
305000,1953,1074,0,67550,16931,982790000,20260501,U
385000,1991,1384,0,41580,48342,891380000,20260501,R
539000,2005,2401,0,45850,109205,891310000,20260501,R
290000,1981,1620,0,38500,29617,891280000,20260501,R
735000,1996,1699,0,72450,65553,977030000,20260501,R
750000,2003,2862,0,62650,118967,891170000,20260501,R
355000,1963,1434,0,39550,21578,891020000,20260501,R
335000,1953,1458,0,26250,22365,840100000,20260501,U
327000,1953,1122,0,67550,15028,891020000,20260501,U
449900,1957,1730,0,34650,22292,891070000,20260501,R
612800,2000,2203,0,63350,89100,891470000,20260501,R
237600,1951,1531,0,28000,23821,423010000,20260501,T
417000,1962,1974,0,36400,26100,891230000,20260501,U
504000,1950,2056,0,38150,31851,891040000,20260501,R
590000,2005,2954,0,47950,132061,891290000,20260501,R
650000,1990,2115,0,42350,66983,891340000,20260501,R
766000,1992,2486,0,50820,89914,891780000,20260501,R
365000,1995,1165,0,50750,44525,891350000,20260501,U
440000,1979,1666,0,33600,31140,891080000,20260501,U
800000,2001,2376,0,91000,99729,891350000,20260501,R
685750,2005,3015,0,95200,143029,891690000,20260501,R
650000,2008,3854,0,58450,210349,891310000,20260501,R
600000,1989,1804,0,42350,60349,891340000,20260501,D
388000,1967,1696,0,28700,23890,891420000,20260501,R
569900,1987,2085,0,55300,62732,891170000,20260501,R
592000,2005,2712,0,45500,153575,890840000,20260501,R
540000,2000,2523,0,61600,102962,891300000,20260501,U
700000,2000,2800,0,56000,115098,891300000,20260501,R
455000,1994,1533,0,50750,57461,891340000,20260501,R
492500,1998,1508,0,72450,62839,891130000,20260501,U
470000,1994,1603,0,26950,63933,891080000,20260501,R
435000,1979,1858,0,49245,34441,891463004,20260501,R
460000,1990,2007,0,38500,63721,891300000,20260501,U
525000,2004,1947,0,46900,84261,891310000,20260501,U
610000,1989,3501,0,36750,78414,891310000,20260501,R
470000,1993,1790,0,26093,53004,890770000,20260501,U
449000,1996,1907,0,38500,77277,891300000,20260501,R
133591,1957,1124,0,30800,15957,923240000,20260501,A
475000,1999,1754,0,42000,67660,891300000,20260501,R
270000,1955,1225,0,26950,18493,891100000,20260501,R
733000,1996,2677,0,79800,132585,891494623,20260501,U
223500,1977,1951,0,43750,34397,891080000,20260501,U
430000,1962,1591,0,50243,25628,891080000,20260501,R
194223,1970,1730,0,47250,24821,891566750,20260501,R
405000,1964,960,0,47250,15520,891560000,20260501,R
815000,1994,2876,0,84000,97114,891494053,20260501,U
620000,1988,2335,0,65450,61759,912080000,20260501,U
485000,1975,1608,0,52500,23550,913310000,20260501,R
369683,1979,2254,0,76563,52827,891490000,20260501,U
870000,1974,2356,0,70928,81994,891380000,20260501,U
409999,1995,1554,0,29750,54036,890320000,20260501,R
392500,2012,1486,0.087775,32200,81871,902660000,20260501,R
399900,1986,2038,0,27650,47755,891130000,20260501,R
520000,1994,1756,0,94500,56593,891490000,20260501,R
430000,1991,1711,0,34650,51542,891660000,20260501,R
380000,1993,1584,0,34650,50890,891300000,20260501,R
447000,2016,2017,0.076618,32200,103623,891490000,20260501,R
1050000,2013,3657,0.41993299,103250,257947,891490000,20260501,R
799000,2017,2577,0.154662,89250,156963,891380000,20260501,U
355000,1996,1244,0,34650,43629,891305276,20260501,R
500000,2014,2022,0.078333,49000,97820,891170000,20260501,R
1160000,2016,2483,0.217014,157500,216236,891380000,20260501,R
725000,2015,3043,0.23930401,61600,201549,963790000,20260501,U
600000,2014,3123,0.120955,51800,176920,891170000,20260501,R
595000,2018,2327,0.116952,50400,130788,891660000,20260501,R
565000,2018,2326,0.10245,50400,123383,891660000,20260501,R
640000,2004,3710,0,49000,176752,890310000,20260501,R
449000,2018,1857,0.071436,34650,96995,70540000,20260501,R
710000,2018,1735,0.186004,91000,136561,895110000,20260501,R
712050,2017,3235,0.124544,41650,157767,891660000,20260501,R
850000,2016,3137,0.34749901,67900,173004,891490000,20260501,R
800000,2017,2324,0.142019,85750,164840,891380000,20260501,R
499900,1993,2054,0,48650,63873,891346069,20260501,R
287000,2001,1521,0,24500,62885,891422841,20260501,U
344250,2001,1521,0,24500,61176,303390000,20260501,R
275000,1983,1178,0,25200,24768,891480000,20260501,R
233000,1986,1248,0,28000,21174,891220000,20260501,R
385000,2004,1596,0,29750,64280,891430000,20260501,F
240000,1987,1440,0,28000,24957,891220000,20260501,R
200000,1985,1152,0,28000,19435,891220000,20260501,R
170000,1997,1056,0,28000,25666,347870000,20260501,U
220000,1987,1248,0,28000,21871,891220000,20260501,R
410000,2013,1607,0,32200,84728,891660000,20260501,R
400000,2019,2218,0,30800,103013,852880000,20260501,U
1015000,2021,2825,0.132162,136500,186076,926570000,20260501,U
375000,2021,1161,0.078626,34300,84030,891300000,20260501,R
429900,1989,2143,0,34300,53451,891290000,20260501,F
1120000,2020,2825,0.13739,136500,181391,891380000,20260501,R
432000,2020,1781,0.103507,31850,100168,890840000,20260501,U
475000,2019,2482,0.092324,34650,125755,890840000,20260501,R
580000,2018,2575,0.122395,43050,138942,891660000,20260501,R
600000,2018,2794,0.097234,43050,145604,891660000,20260501,U
595000,2019,2648,0.103782,43400,140679,891660000,20260501,R
599000,2021,2950,0.154457,42000,151553,890840000,20260501,R
570000,2023,3068,0.110255,37800,158208,890840000,20260501,R
590000,2022,3120,0.119308,47950,150919,890840000,20260501,R
740000,2021,2454,0.095653,68250,140547,891350000,20260501,U
605000,2023,3068,0.108253,37800,158208,890840000,20260501,R
565000,2023,2109,0.088793,38850,132562,891660000,20260501,R
559000,2020,2583,0.129775,41650,139114,891660000,20260501,U
670000,2020,2508,0.152336,55650,173778,852880000,20260501,R
560000,2023,2601,0.099132,39200,148491,891430000,20260501,R
680000,2023,2068,0.120529,44888,164329,891430000,20260501,U
837500,2022,1747,0.12046,81550,144255,891380000,20260501,R
1250000,2023,3014,0.133046,130900,237720,891380000,20260501,U
430000,2022,1419,0.084803,38500,98088,891660000,20260501,R
740000,2022,3093,0.13788401,61950,203197,23680000,20260501,R
515000,2022,1355,0.039244,60550,110442,891350000,20260501,U
865000,2025,4237,0.332636,78400,273956,891180000,20260501,U
2357345,2026,3203,0.14858501,140000,0,891130000,20260501,U
785694,2026,2890,0.17146599,66500,0,891310000,20260501,R
